Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,CouncilArea,Regionname,Price_per_Room,Room_to_Bathroom_Ratio,Property_Age
2,2,700000.0,2.5,2.0,2.0,1.0,0.0,131.0,1970.0,-37.811,145.0067,4019.0,31,2,350000.0,0.6666666666666666,54.0
3,0,1350000.0,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,4019.0,31,2,450000.0,1.0,19.0
2,2,750000.0,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,4019.0,31,2,375000.0,0.6666666666666666,15.0
4,0,1985000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.8084,144.9942,4019.0,31,2,496250.0,2.0,54.0
1,2,500000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,500000.0,0.5,54.0
2,0,1172500.0,2.5,2.0,1.0,1.0,195.0,131.0,1970.0,-37.8084,144.9973,4019.0,31,2,586250.0,1.0,54.0
1,2,441000.0,2.5,1.0,1.0,1.0,0.0,131.0,1970.0,-37.8016,144.9988,4019.0,31,2,441000.0,0.5,54.0
2,0,1310000.0,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,4019.0,31,2,655000.0,1.0,134.0
3,0,1200000.0,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,4019.0,31,2,400000.0,1.0,144.0
2,1,847000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,423500.0,1.0,54.0
3,0,1176500.0,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,4019.0,31,2,392166.6666666667,1.5,134.0
3,0,955000.0,2.5,3.0,1.0,0.0,183.0,131.0,1970.0,-37.8022,144.9975,4019.0,31,2,318333.3333333333,1.5,54.0
2,0,890000.0,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,4019.0,31,2,445000.0,1.0,39.0
4,0,1330000.0,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,4019.0,31,2,332500.0,1.3333333333333333,124.0
3,1,900000.0,2.5,3.0,2.0,2.0,0.0,131.0,2010.0,-37.8093,144.9959,4019.0,31,2,300000.0,1.0,14.0
3,2,1090000.0,2.5,3.0,2.0,2.0,4290.0,27.0,1970.0,-37.8078,144.9965,4019.0,31,2,363333.3333333333,1.0,54.0
2,2,500000.0,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,4019.0,31,2,250000.0,1.0,54.0
2,0,1100000.0,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,4019.0,31,2,550000.0,0.6666666666666666,11.0
2,0,1315000.0,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,4019.0,31,2,657500.0,1.0,124.0
1,2,480000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,480000.0,0.5,54.0
1,2,423500.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,423500.0,0.5,54.0
1,2,426000.0,2.5,1.0,1.0,1.0,0.0,131.0,1970.0,-37.8016,144.9988,4019.0,31,2,426000.0,0.5,54.0
3,0,1447500.0,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,4019.0,31,2,482500.0,0.75,12.0
1,2,457000.0,2.5,1.0,1.0,1.0,0.0,50.0,1970.0,-37.8078,144.9965,4019.0,31,2,457000.0,0.5,54.0
2,0,1135000.0,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,4019.0,31,2,567500.0,0.6666666666666666,104.0
2,0,700000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,350000.0,1.0,54.0
4,0,1542000.0,2.5,4.0,3.0,1.0,0.0,131.0,1970.0,-37.7994,144.9965,4019.0,31,2,385500.0,1.0,54.0
3,1,962000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.7972,144.9969,4019.0,31,2,320666.6666666667,1.5,54.0
3,0,1290000.0,2.5,3.0,2.0,2.0,147.0,18.0,1970.0,-37.805,144.9943,4019.0,31,2,430000.0,1.0,54.0
3,0,1290000.0,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,4019.0,31,2,430000.0,1.5,74.0
1,2,470000.0,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,4019.0,31,2,470000.0,0.5,11.0
2,0,1180000.0,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,4019.0,31,2,590000.0,1.0,124.0
3,0,1195000.0,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,4019.0,31,2,398333.3333333333,1.0,26.0
2,0,1012500.0,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,4019.0,31,2,506250.0,1.0,124.0
2,2,970000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,485000.0,1.0,54.0
2,0,1030000.0,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,4019.0,31,2,515000.0,1.0,94.0
3,0,927000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,309000.0,1.5,54.0
3,1,840000.0,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,3464.0,22,6,280000.0,1.0,8.0
3,0,730000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,22,6,243333.33333333334,1.0,59.0
3,0,770000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,22,6,256666.66666666666,1.0,59.0
2,0,603000.0,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,3464.0,22,6,301500.0,1.0,74.0
3,1,700000.0,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,3464.0,22,6,233333.33333333334,1.0,15.0
3,0,600000.0,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,3464.0,22,6,200000.0,1.5,44.0
2,2,500000.0,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,3464.0,22,6,250000.0,1.0,13.0
2,1,420000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,210000.0,1.0,54.0
3,1,500000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,166666.66666666666,1.5,54.0
5,0,1035000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,207000.0,2.5,54.0
4,0,960000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,240000.0,2.0,54.0
4,0,960000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,240000.0,2.0,54.0
3,0,720000.0,13.5,2.0,1.0,1.0,620.0,131.0,1970.0,-37.7173,144.8872,3464.0,22,6,240000.0,1.5,54.0
4,0,785000.0,13.5,3.0,1.0,2.0,597.0,127.0,1970.0,-37.7259,144.8792,3464.0,22,6,196250.0,2.0,54.0
6,0,725000.0,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,3464.0,22,6,120833.33333333333,1.5,44.0
2,1,450000.0,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,3464.0,22,6,225000.0,1.0,9.0
2,2,515000.0,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,3464.0,22,6,257500.0,1.0,11.0
3,0,680000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,226666.66666666666,1.5,54.0
2,2,530000.0,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,3464.0,22,6,265000.0,1.0,12.0
3,0,895000.0,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,3464.0,22,6,298333.3333333333,1.5,49.0
3,2,600000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,200000.0,1.5,54.0
3,0,805000.0,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,3464.0,22,6,268333.3333333333,1.5,74.0
3,1,760000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,253333.33333333334,1.5,54.0
3,2,752000.0,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,3464.0,22,6,250666.66666666666,1.5,31.0
3,2,580000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,193333.33333333334,1.5,54.0
3,0,725000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,241666.66666666666,1.5,54.0
4,0,758000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,189500.0,2.0,54.0
2,2,440000.0,13.5,2.0,1.0,1.0,192.0,131.0,1970.0,-37.7177,144.8787,3464.0,22,6,220000.0,1.0,54.0
3,0,970000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,323333.3333333333,1.5,54.0
5,0,755000.0,13.5,3.0,2.0,2.0,596.0,131.0,1970.0,-37.7248,144.8699,3464.0,22,6,151000.0,1.6666666666666667,54.0
4,0,985000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,246250.0,2.0,54.0
3,1,700000.0,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,3464.0,22,6,233333.33333333334,1.0,15.0
2,2,509500.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,254750.0,1.0,54.0
3,0,830000.0,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,3464.0,22,6,276666.6666666667,1.5,64.0
2,2,462500.0,13.5,2.0,1.0,1.0,164.0,131.0,2003.0,-37.7218,144.8863,3464.0,22,6,231250.0,1.0,21.0
3,0,670000.0,13.5,3.0,2.0,2.0,657.0,131.0,1970.0,-37.7269,144.8742,3464.0,22,6,223333.33333333334,1.0,54.0
2,0,675000.0,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,3464.0,22,6,337500.0,1.0,49.0
3,0,1042000.0,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,3464.0,22,6,347333.3333333333,1.0,74.0
3,0,910000.0,13.5,3.0,1.0,1.0,775.0,131.0,1970.0,-37.7231,144.8835,3464.0,22,6,303333.3333333333,1.5,54.0
4,0,773000.0,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,3464.0,22,6,193250.0,1.0,44.0
3,0,715000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,238333.33333333334,1.5,54.0
3,0,810000.0,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,3464.0,22,6,270000.0,0.75,44.0
3,0,715000.0,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,3464.0,22,6,238333.33333333334,1.0,29.0
3,0,790000.0,13.5,3.0,1.0,3.0,614.0,131.0,1970.0,-37.7194,144.8827,3464.0,22,6,263333.3333333333,1.5,54.0
2,1,460000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,230000.0,1.0,54.0
3,1,540000.0,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,3464.0,22,6,180000.0,1.0,14.0
3,1,825000.0,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,3464.0,22,6,275000.0,1.0,64.0
3,0,685000.0,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,3464.0,22,6,228333.33333333334,1.5,49.0
3,2,445000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,148333.33333333334,1.5,54.0
3,0,805000.0,13.5,3.0,1.0,1.0,623.0,131.0,1970.0,-37.7184,144.882,3464.0,22,6,268333.3333333333,1.5,54.0
2,2,510000.0,13.5,2.0,1.0,1.0,141.0,76.0,1970.0,-37.7202,144.8797,3464.0,22,6,255000.0,1.0,54.0
3,0,612000.0,13.5,3.0,2.0,1.0,212.0,131.0,1970.0,-37.7181,144.8824,3464.0,22,6,204000.0,1.0,54.0
3,0,662000.0,13.5,3.0,1.0,2.0,612.0,131.0,1970.0,-37.7169,144.8815,3464.0,22,6,220666.66666666666,1.5,54.0
4,0,978000.0,13.5,4.0,3.0,2.0,532.0,131.0,1970.0,-37.7263,144.869,3464.0,22,6,244500.0,1.0,54.0
3,0,720000.0,13.5,3.0,1.0,1.0,585.0,131.0,1970.0,-37.72,144.878,3464.0,22,6,240000.0,1.5,54.0
2,2,474000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,237000.0,1.0,54.0
2,1,490000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,245000.0,1.0,54.0
3,0,405000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,135000.0,1.5,54.0
3,1,715000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,238333.33333333334,1.5,54.0
3,2,671500.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,223833.33333333334,1.5,54.0
4,0,765000.0,13.5,4.0,1.0,2.0,509.0,131.0,1970.0,-37.7261,144.8785,3464.0,22,6,191250.0,2.0,54.0
4,0,900000.0,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,3464.0,22,6,225000.0,1.3333333333333333,49.0
3,2,820000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,273333.3333333333,1.5,54.0
3,2,650000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,216666.66666666666,1.5,54.0
3,1,552000.0,13.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3464.0,22,6,184000.0,1.5,54.0
2,0,1275000.0,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,3280.0,26,5,637500.0,1.0,124.0
2,0,1455000.0,3.3,2.0,1.0,0.0,159.0,131.0,1970.0,-37.845,144.9538,3280.0,26,5,727500.0,1.0,54.0
3,0,2850000.0,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,3280.0,26,5,950000.0,1.0,134.0
3,0,1850000.0,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,3280.0,26,5,616666.6666666666,1.0,134.0
2,0,1436000.0,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,3280.0,26,5,718000.0,1.0,124.0
2,0,1110000.0,3.3,1.0,1.0,0.0,147.0,131.0,1900.0,-37.8444,144.9484,3280.0,26,5,555000.0,1.0,124.0
2,0,1550000.0,3.3,2.0,1.0,1.0,167.0,131.0,1970.0,-37.8405,144.9521,3280.0,26,5,775000.0,1.0,54.0
4,0,2300000.0,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,3280.0,26,5,575000.0,1.3333333333333333,144.0
3,1,1550000.0,3.3,3.0,2.0,2.0,718.0,131.0,1970.0,-37.8443,144.9598,3280.0,26,5,516666.6666666667,1.0,54.0
3,0,1800000.0,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,3280.0,26,5,600000.0,1.0,28.0
3,0,2485000.0,3.3,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3280.0,26,5,828333.3333333334,1.5,54.0
2,0,2120000.0,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,3280.0,26,5,1060000.0,1.0,124.0
3,0,1800000.0,3.3,3.0,1.0,1.0,253.0,131.0,1970.0,-37.8443,144.9579,3280.0,26,5,600000.0,1.5,54.0
3,0,1800000.0,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,3280.0,26,5,600000.0,1.0,124.0
2,0,1810000.0,3.3,2.0,1.0,0.0,240.0,131.0,1970.0,-37.8379,144.9539,3280.0,26,5,905000.0,1.0,54.0
3,0,2615000.0,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,3280.0,26,5,871666.6666666666,1.0,144.0
5,0,2100000.0,3.3,5.0,2.0,1.0,237.0,131.0,1970.0,-37.8436,144.9557,3280.0,26,5,420000.0,1.6666666666666667,54.0
3,0,1300000.0,3.3,3.0,1.0,0.0,129.0,131.0,1970.0,-37.8422,144.949,3280.0,26,5,433333.3333333333,1.5,54.0
3,0,1370000.0,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,3280.0,26,5,456666.6666666667,1.0,24.0
2,0,1000000.0,3.3,2.0,1.0,0.0,288.0,131.0,1970.0,-37.8407,144.9523,3280.0,26,5,500000.0,1.0,54.0
3,0,2575000.0,3.3,3.0,2.0,1.0,228.0,131.0,1970.0,-37.8445,144.9501,3280.0,26,5,858333.3333333334,1.0,54.0
2,0,1322500.0,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,3280.0,26,5,661250.0,1.0,134.0
2,0,1562500.0,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,3280.0,26,5,781250.0,1.0,134.0
3,0,2000000.0,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,3280.0,26,5,666666.6666666666,1.0,124.0
3,0,1900000.0,3.3,3.0,1.0,0.0,209.0,131.0,1900.0,-37.8468,144.9546,3280.0,26,5,633333.3333333334,1.5,124.0
4,0,2800000.0,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,3280.0,26,5,700000.0,1.0,114.0
2,2,647000.0,3.3,2.0,1.0,1.0,0.0,131.0,1970.0,-37.846,144.9542,3280.0,26,5,323500.0,1.0,54.0
3,0,2100000.0,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,3280.0,26,5,700000.0,1.5,124.0
3,0,2000000.0,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,3280.0,26,5,666666.6666666666,1.5,134.0
1,2,442500.0,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,3280.0,26,5,442500.0,0.5,54.0
2,0,1340000.0,3.3,2.0,1.0,0.0,136.0,131.0,1970.0,-37.846,144.9517,3280.0,26,5,670000.0,1.0,54.0
3,0,1801000.0,3.3,3.0,1.0,1.0,202.0,131.0,1970.0,-37.8429,144.9493,3280.0,26,5,600333.3333333334,1.5,54.0
3,0,1532000.0,3.3,3.0,3.0,1.0,0.0,131.0,1970.0,-37.8415,144.9585,3280.0,26,5,510666.6666666667,0.75,54.0
4,0,2140000.0,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,3280.0,26,5,535000.0,1.3333333333333333,144.0
2,2,1810000.0,3.3,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,3280.0,26,5,905000.0,1.0,54.0
2,0,1750000.0,3.3,2.0,1.0,1.0,162.0,131.0,1970.0,-37.8416,144.9488,3280.0,26,5,875000.0,1.0,54.0
2,0,980000.0,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,3280.0,26,5,490000.0,1.0,134.0
3,0,2030000.0,3.3,3.0,2.0,0.0,152.0,131.0,1970.0,-37.8488,144.9551,3280.0,26,5,676666.6666666666,1.0,54.0
3,0,1740000.0,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,3280.0,26,5,580000.0,1.0,134.0
3,0,2800000.0,3.3,3.0,3.0,1.0,0.0,131.0,1970.0,-37.8399,144.9577,3280.0,26,5,933333.3333333334,0.75,54.0
1,0,985000.0,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,3280.0,26,5,985000.0,0.5,124.0
4,0,2000000.0,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,2211.0,6,2,500000.0,1.3333333333333333,94.0
3,0,1110000.0,6.4,3.0,2.0,2.0,208.0,131.0,2013.0,-37.7854,145.0325,2211.0,6,2,370000.0,1.0,11.0
3,0,1492000.0,6.4,3.0,2.0,2.0,411.0,131.0,1970.0,-37.7713,145.0279,2211.0,6,2,497333.3333333333,1.0,54.0
2,2,480000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,2211.0,6,2,240000.0,1.0,54.0
3,1,1304000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,2211.0,6,2,434666.6666666667,1.5,54.0
4,0,1717500.0,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,2211.0,6,2,429375.0,1.3333333333333333,99.0
5,0,2840000.0,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,2211.0,6,2,568000.0,1.0,114.0
2,2,525500.0,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,2211.0,6,2,262750.0,1.0,64.0
2,1,805000.0,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,2211.0,6,2,402500.0,0.6666666666666666,20.0
2,2,465000.0,6.4,2.0,1.0,1.0,0.0,131.0,1970.0,-37.7773,145.0314,2211.0,6,2,232500.0,1.0,54.0
3,0,1480000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,2211.0,6,2,493333.3333333333,1.5,54.0
3,0,2000000.0,6.4,3.0,3.0,2.0,686.0,131.0,1970.0,-37.78,145.0341,2211.0,6,2,666666.6666666666,0.75,54.0
3,0,1540000.0,6.4,3.0,1.0,2.0,592.0,131.0,1970.0,-37.7755,145.0288,2211.0,6,2,513333.3333333333,1.5,54.0
2,2,590000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,2211.0,6,2,295000.0,1.0,54.0
2,2,820000.0,6.4,2.0,1.0,1.0,183.0,131.0,1970.0,-37.7747,145.0264,2211.0,6,2,410000.0,1.0,54.0
4,0,1830000.0,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,2211.0,6,2,457500.0,1.3333333333333333,54.0
4,0,2100000.0,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,2211.0,6,2,525000.0,1.3333333333333333,16.0
3,0,865000.0,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,2211.0,6,2,288333.3333333333,1.5,14.0
2,2,390000.0,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314,2211.0,6,2,195000.0,1.0,64.0
2,1,650000.0,6.4,0.0,1.0,0.0,0.0,131.0,1970.0,-37.7848,145.025,2211.0,6,2,325000.0,1.0,54.0
2,2,512000.0,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262,2211.0,6,2,256000.0,1.0,59.0
3,0,1361000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.7796,145.0285,2211.0,6,2,453666.6666666667,1.5,54.0
3,0,1310000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,2211.0,6,2,436666.6666666667,1.5,54.0
3,0,570000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,2211.0,6,2,190000.0,1.5,54.0
3,0,1165000.0,6.4,3.0,1.0,2.0,979.0,131.0,1970.0,-37.7792,145.029,2211.0,6,2,388333.3333333333,1.5,54.0
2,2,530000.0,6.4,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,2211.0,6,2,265000.0,1.0,54.0
4,0,1900000.0,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,2211.0,6,2,475000.0,1.3333333333333333,94.0
3,0,1485000.0,6.4,3.0,0.0,0.0,597.0,131.0,1970.0,-37.7781,145.0284,2211.0,6,2,495000.0,3.0,54.0
4,0,1950000.0,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,2211.0,6,2,487500.0,1.3333333333333333,104.0
3,0,520000.0,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,5301.0,10,6,173333.33333333334,1.0,9.0
5,0,1525000.0,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,5301.0,10,6,305000.0,1.25,19.0
